date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2023-03-25,False,11.0,1672.35,-11.0,1.0,1840.77,0.0,0,1.2857142857142858,2.2857142857142856,0.7142857142857143,0.7142857142857143,0,0,123,27,1,3,42
2023-03-25,False,14.0,1646.91,3.0,21.0,1564.3,-2.0,0,2.4285714285714284,1.2857142857142858,0.7142857142857143,0.7142857142857143,1,0,70,144,5,3,42
2023-03-25,False,78.0,1305.98,0.0,183.0,913.55,0.0,0,2.142857142857143,0.42857142857142855,0.8571428571428571,0.2857142857142857,0,0,69,120,5,0,42
2023-03-25,False,192.0,884.45,0.0,199.0,859.56,0.0,0,0.7142857142857143,1.1428571428571428,0.14285714285714285,0.2857142857142857,0,0,16,160,0,1,42
2023-03-26,False,170.0,974.32,0.0,194.0,865.72,-1.0,0,3.142857142857143,0.7142857142857143,0.8571428571428571,0.14285714285714285,2,0,148,37,2,2,19
2023-03-26,False,54.0,1425.58,-1.0,57.0,1403.51,-1.0,0,0.8571428571428571,1.4285714285714286,0.42857142857142855,0.7142857142857143,1,3,163,25,5,5,79
2023-03-26,False,115.0,1163.09,2.0,18.0,1608.11,8.0,0,1.0,1.2857142857142858,0.42857142857142855,0.42857142857142855,0,4,95,51,5,5,79
2023-03-26,False,5.0,1774.19,0.0,26.0,1536.99,-1.0,0,2.142857142857143,2.0,0.5714285714285714,0.7142857142857143,4,1,58,190,5,5,79
2023-03-26,False,37.0,1491.26,4.0,68.0,1342.39,0.0,0,2.0,2.0,0.7142857142857143,0.8571428571428571,0,0,152,88,5,0,42
2023-03-26,False,62.0,1389.06,-1.0,211.0,763.15,0.0,0,1.4285714285714286,0.0,0.7142857142857143,0.0,5,0,164,155,5,5,79
2023-03-27,False,22.0,1559.83,-4.0,66.0,1353.03,0.0,0,0.8571428571428571,1.0,0.42857142857142855,0.2857142857142857,4,0,146,1,5,5,79
2023-03-27,False,34.0,1497.24,0.0,109.0,1186.27,0.0,0,1.2857142857142858,1.7142857142857142,0.42857142857142855,0.7142857142857143,0,0,12,61,5,5,79
2023-03-27,False,152.0,1031.86,-1.0,176.0,950.88,0.0,0,1.5714285714285714,0.8571428571428571,0.42857142857142855,0.14285714285714285,1,2,54,20,2,2,19
